oem,trend,ari,funding_musd,use_case,vehicle_type,propulsion,operation,vehicles,first_flight,eis,cert_regulator,country
Ehang (NASDAQ: EH),↔︎,8.45,262.0,"Tourism,EMS,Firefighting,Air Taxi",Multicopter/ Lift + Cruise,Electric,Autonomous,EH216-S/F / VT-35,2018 / 2025,2025 / -,CAAC,China
Volocopter (Wafeng Diamond),↔︎,8.10,Corporate backed,"Air Taxi, Tourism, EMS,Cargo",Multicopter/ Multicopter/ Lift + Cruise,Electric,Piloted,VoloCity / VoloUrban / VoloRegion,2021 / 2026 /  2023,2027 / 2028 / 2030,EASA,Germany / China
Volant Aerotech,↑,8.05,701.0,"Air Taxi, EMS, Tourism",Lift + Cruise,Electric,Piloted,VE25-100 SKYLAR,2023,2026,CAAC,China
Joby Aviation (NYSE: JOBY),↔︎,8.00,"5,181.4","Air Taxi, MIL",Vectored Thrust,Electric,Piloted,S4,2018,-,FAA,USA
Beta Technologies (NYSE: BETA),↔︎,7.95,"2,952.7","Cargo, MIL, Regional, Air Taxi",Conventional/Lift + Cruise,Electric,Piloted,CX300/ A250,2020 / 2022,2026 / 2027,FAA,USA
AutoFlight,↔︎,7.85,640.0,"Cargo, Air Taxi",Lift + Cruise,Electric,Piloted,V2000EM Prosperity,2022,2026,CAAC,China
Archer (NYSE: ACHR),↔︎,7.80,"2,864.2",Air Taxi,Vectored Thrust,Electric,Piloted,Midnight,2023,-,FAA,USA
Eve Air Mobility (NYSE: EVEX),↔︎,7.80,"1,002.6",Air Taxi,Lift + Cruise,Electric,Piloted,Eve,2025,2028,ANAC,Brazil
Wisk (Boeing),↔︎,7.55,Corporate backed,Air Taxi,Vectored Thrust,Electric,Autonomous,Generation 6,2025,-,FAA,USA
Aerofugia,↔︎,7.50,238.4,"Air Taxi, Cargo, Tourism",Vectored Thrust,Electric,Piloted,AE200-100,2023,2026,CAAC,China
Robinson,↔︎,7.45,Corporate backed,"EMS, Cargo",Helicopter,H2 Fuel Cell/Electric,Piloted,- / -,2025/2027,2029/-,FAA,USA
SkyDrive,↑,7.35,315.9,"Air Taxi, Tourism, EMS",Multicopter,Electric,Piloted,SKYDRIVE,2024,2028,JCAB,Japan
Vertical Aerospace (NYSE: EVTL),↑,7.20,626.2,"Air Taxi, EMS, MIL",Vectored Thrust,Electric,Piloted,Valo,2023,2028,CAA,UK
TCab Tech,↑,7.00,142.6,"Air Taxi,Tourism",Vectored Thrust,Electric,Piloted,E20,2023,2027,CAAC,China
ZEROG,↔︎,6.80,176.3,"Tourism, EMS, SAR, Air Taxi",Multicopter/ Vectored Thrust,Electric,Autonomous/Piloted,ZG-ONE / ZG-T6,2023 / 2025,2026 / 2028,CAAC,China
Electra,↔︎,6.55,249.0,"Regional, Cargo, MIL",Augmented Lift,Hybrid,Piloted,EL-9,2027,2030,FAA,USA
Ascendance,↔︎,6.20,56.5,"Regional, Cargo",Lift + Cruise,Hybrid,Piloted,Atea,2027,2029,EASA,France
REGENT,↔︎,6.05,90.0,"Regional, MIL",Augmented Lift,Electric,Piloted,Viceroy,2026,2026,US Coast Guard,USA
Heart Aerospace,↔︎,5.90,189.7,Regional,Conventional,Electric/Hybrid,Piloted,ES-30,2026,2029,FAA,USA
Honda Motor Company,↑,5.75,Corporate backed,Air Taxi,Lift + Cruise,Hybrid,Piloted,F1,2024,2030,FAA,Japan
Vertaxi,↔︎,5.45,69.2,"Tourism, Air Taxi, EMS, Cargo",Lift + Cruise,Electric,Autonomous,M1,2023,2027,CAAC,China
ERC System,↔︎,5.45,Undisclosed,EMS,Lift + Cruise,Hybrid,Piloted,-,2025,2031,EASA,Germany
Vaeridion,↔︎,5.25,19.1,Regional,Conventional,Electric,Piloted,Microliner,2027,2030,EASA,Germany
Supernal,↔︎,4.40,Corporate backed,"Air Taxi, Cargo",Vectored Thrust,Electric,Piloted,S-A2,-,-,FAA,USA
