date,event,source_url,note
2011-10-21,first crewed multicopter,https://evtol.news/volocopter-vc1-vc2/,"e-volo (now Volocopter) VC1, flown by Thomas Senkel in south-west Germany for 90 s: the first crewed flight of an electric multicopter. Source is the Vertical Flight Society directory page; Volocopter's own site was restructured after its assets were sold in 2025."
2016-10-27,Uber Elevate white paper,https://evtol.news/__media/PDFs/UberElevateWhitePaperOct2016.pdf,"Fast-Forwarding to a Future of On-Demand Urban Air Transportation (Holden and Goel, Uber, 27 Oct 2016), the paper that set out the on-demand eVTOL market and the Uber Elevate programme; the link is the Vertical Flight Society's archived copy of the original PDF; Uber's own post: https://uberpubpolicy.medium.com/fast-forwarding-to-a-future-of-on-demand-urban-air-transportation-f6ad36950ffa"
2017-04-25,first Uber Elevate Summit,https://www.uber.com/us/en/elevate/summit/2017/,"Dallas, 25-27 April 2017; Dallas-Fort Worth and Dubai named as the first partner cities. Uber's page gives the place, not the dates; the dates are in the press notice (TechCrunch, 20 Apr 2017: https://techcrunch.com/2017/04/20/uber-will-live-stream-its-first-elevate-vtol-summit-april-25-27/)."
2018-01-31,Airbus Vahana first flight,https://www.airbus.com/en/newsroom/press-releases/2018-02-vahana-the-self-piloted-evtol-aircraft-from-a3-by-airbus,"Alpha One, full-scale and self-piloted, Pendleton UAS Range (Oregon), 53 s at 5 m: the first full-scale eVTOL flight by an established airframer (A3 by Airbus)."
2019-05-04,Lilium Jet first flight,https://verticalmag.com/press-releases/lilium-reveals-new-air-taxi-as-it-celebrates-maiden-flight/,"Five-seat, full-scale, remotely piloted prototype at Oberpfaffenhofen (Munich); announced 16 May 2019; the two-seat prototype had flown in April 2017. Lilium's own newsroom page (lilium.com/newsroom-detail/lilium-reveals-new-air-taxi-as-it-celebrates-maiden-flight) was unreachable on 2026-09-23, so the link is the press release as carried by Vertical."
2019-07-02,EASA SC-VTOL published,https://www.easa.europa.eu/en/document-library/product-certification-consultations/special-condition-vtol,"Special Condition for small-category VTOL aircraft (SC-VTOL-01), the first dedicated certification basis for eVTOL (up to 9 passengers, 3 175 kg); the document: https://www.easa.europa.eu/sites/default/files/dfu/SC-VTOL-01.pdf"
2020-12-08,Joby acquires Uber Elevate,https://ir.jobyaviation.com/news-events/press-releases/detail/10/joby-aviation-welcomes-new-75m-investment-from-uber-as-it,"Uber leaves the eVTOL business: Elevate passes to Joby, with a USD 75 M investment from Uber on top of USD 50 M in January 2020."
2021-08-11,"Joby, Archer, Lilium listed",https://ir.jobyaviation.com/news-events/press-releases/detail/16/joby-aviation-announces-closing-of-business-combination,"The SPAC wave, dated by the first listing: Joby on the NYSE 11 Aug 2021 (Reinvent Technology Partners); Lilium on Nasdaq 15 Sep 2021 (Qell; https://www.nasdaq.com/press-release/lilium-closes-business-combination-with-qell-acquisition-corp.-will-begin-trading-on); Archer on the NYSE 17 Sep 2021 (Atlas Crest; https://investors.archer.com/news/news-details/2021/Archer-Begins-Trading-on-the-New-York-Stock-Exchange-Under-the-Symbol-ACHR/default.aspx); Vertical Aerospace on the NYSE 16 Dec 2021 (Broadstone)."
2023-10-13,first eVTOL TC (EHang),https://www.ehang.com/news/990.html,The Civil Aviation Administration of China issues the world's first type certificate for an eVTOL to EHang's pilotless two-seat EH216-S.
2024-10-22,FAA powered-lift rule,https://www.faa.gov/newsroom/integration-powered-lift-pilot-certification-and-operations-miscellaneous-amendments,"Integration of Powered-Lift: Pilot Certification and Operations, the final rule released by the FAA on 22 Oct 2024 and published in the Federal Register on 21 Nov 2024 (89 FR 92296; https://www.govinfo.gov/content/pkg/FR-2024-11-21/html/2024-24886.htm), in force from 21 Jan 2025: a ten-year SFAR giving powered-lift its own pilot-certification and operating rules in the United States."
2024-10-28,"Lilium, Volocopter insolvent",https://www.sec.gov/Archives/edgar/data/1855756/000110465924112073/tm2427014d1_6k.htm,"Lilium GmbH and Lilium eAircraft GmbH file for insolvency at Weilheim on 28 Oct 2024 (board approval 24 Oct; Nasdaq trading suspended 6 Nov); the rescue by Mobile Uplift Corporation collapsed and they filed again on 21 Feb 2025 (https://www.electrive.com/2025/02/21/lilium-files-for-insolvency-again/). Volocopter GmbH filed at Karlsruhe on 26 Dec 2024 (press release as carried by Runway Girl Network: https://runwaygirlnetwork.com/2024/12/volocopter-files-insolvency/); its assets went to Wanfeng in March 2025. One marker for the two, dated by the first filing."
2025-03-30,first paid flights (China),https://www.ehang.com/news/1196.html,"The CAAC grants the first air operator certificates for passenger-carrying eVTOL to Guangdong EHang General Aviation (Guangzhou) and Hefei Heyi Aviation (Hefei), both flying the EH216-S: ticketed sightseeing and tourism flights open to the public; announced 30 Mar 2025. No comparable service had started in the UAE or the USA by the snapshot (Joby expected its first Dubai passengers later in 2026)."
